OSM_Data
"{'type': 'node', 'id': 3259870230, 'lat': 13.0862504, 'lon': -1.0849815, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Pharmacie du Rond Point'}}"
"{'type': 'node', 'id': 3260043467, 'lat': 13.0815144, 'lon': -1.086018, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'name': 'Pharmacie Adonai'}}"
"{'type': 'node', 'id': 3260043468, 'lat': 13.0876801, 'lon': -1.1031198, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'name': 'Pharmacie Sanma'}}"
"{'type': 'node', 'id': 3805766860, 'lat': 12.9926855, 'lon': -1.7213465, 'tags': {'amenity': 'clinic', 'health_facility:type': 'health_center', 'id:uuid': 'urn:tdh_csps_pnt_id:guipa', 'is_in:health_admin1': 'Nord', 'is_in:health_admin2': 'Passoré', 'is_in:health_admin3': 'Yako', 'name': 'Guipa', 'operator': 'Ministère de la Santé du Burkina Faso', 'operator:type': 'public', 'source': 'Bing;Tdh;survey', 'survey:date': '2015-10-23'}}"
"{'type': 'node', 'id': 3805863523, 'lat': 12.9914539, 'lon': -1.5973734, 'tags': {'amenity': 'clinic', 'health_facility:type': 'health_center', 'id:uuid': 'urn:tdh_csps_pnt_id:koullou', 'is_in:health_admin1': 'Nord', 'is_in:health_admin2': 'Passoré', 'is_in:health_admin3': 'Yako', 'name': 'Koullou', 'operator': 'Ministère de la Santé du Burkina Faso', 'operator:type': 'public', 'source': 'Bing;Tdh;survey', 'survey:date': '2015-10-23'}}"
"{'type': 'node', 'id': 3805863524, 'lat': 12.999447, 'lon': -1.6867467, 'tags': {'amenity': 'clinic', 'health_facility:type': 'health_center', 'id:uuid': 'urn:tdh_csps_pnt_id:sarma', 'is_in:health_admin1': 'Nord', 'is_in:health_admin2': 'Passoré', 'is_in:health_admin3': 'Yako', 'name': 'Sarma', 'operator': 'Ministère de la Santé du Burkina Faso', 'operator:type': 'public', 'source': 'Bing;Tdh;survey', 'survey:date': '2015-10-23'}}"
"{'type': 'node', 'id': 3805863525, 'lat': 12.9516562, 'lon': -1.7117476, 'tags': {'amenity': 'clinic', 'health_facility:type': 'health_center', 'id:uuid': 'urn:tdh_csps_pnt_id:yaké', 'is_in:health_admin1': 'Nord', 'is_in:health_admin2': 'Passoré', 'is_in:health_admin3': 'Yako', 'name': 'Yaké', 'operator': 'Ministère de la Santé du Burkina Faso', 'operator:type': 'public', 'source': 'Bing;Tdh;survey', 'survey:date': '2015-10-23'}}"
"{'type': 'node', 'id': 4804846422, 'lat': 13.086559, 'lon': -1.086778, 'tags': {'amenity': 'pharmacy', 'name': 'Pharmacie Tanko'}}"
"{'type': 'node', 'id': 4982194018, 'lat': 12.4874168, 'lon': -1.2660228, 'tags': {'amenity': 'pharmacy', 'name': 'Dépôt pharmaceutique'}}"
"{'type': 'node', 'id': 5897520889, 'lat': 12.4171874, 'lon': -1.473243, 'tags': {'amenity': 'pharmacy', 'name': 'Pharmacie Kossodo'}}"
"{'type': 'node', 'id': 6076170333, 'lat': 12.5892423, 'lon': -1.2972834, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6899257185, 'lat': 12.941474, 'lon': -0.6563018, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Koumenstenga-Mossi'}}"
"{'type': 'node', 'id': 7123358611, 'lat': 13.3230471, 'lon': -1.3587937, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Nasséré', 'operator': 'Public'}}"
"{'type': 'node', 'id': 7135969727, 'lat': 12.9484675, 'lon': -0.7644993, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Lédéré', 'operator': 'MS'}}"
"{'type': 'node', 'id': 7136092452, 'lat': 12.9900921, 'lon': -0.8144152, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Koanguen-Sangro', 'operator': 'MS'}}"
"{'type': 'node', 'id': 7653315587, 'lat': 12.4169968, 'lon': -1.5017305, 'tags': {'addr:housenumber': '72228000', 'amenity': 'pharmacy', 'name': 'Merdipharm'}}"
