OSM_Data
"{'type': 'node', 'id': 4535581388, 'lat': 7.4479718, 'lon': 2.7479998, 'tags': {'amenity': 'hospital', 'name': ""Marternité d'Ilikimou"", 'source': 'gps;servey'}}"
"{'type': 'node', 'id': 4535734691, 'lat': 7.4288897, 'lon': 2.7082969, 'tags': {'amenity': 'hospital', 'name': ""Marternité d'Illèchin"", 'source': 'gps;servey'}}"
"{'type': 'node', 'id': 4856553312, 'lat': 7.3704983, 'lon': 2.5989933, 'tags': {'amenity': 'hospital', 'name': 'Centre de Santé Oganla de Ketou'}}"
"{'type': 'node', 'id': 4857605418, 'lat': 7.3671543, 'lon': 2.6118161, 'tags': {'amenity': 'pharmacy', 'name': 'Pharmacie principale'}}"
"{'type': 'node', 'id': 4857651100, 'lat': 7.361541, 'lon': 2.6088467, 'tags': {'amenity': 'clinic', 'name': 'Clinique Saint Pierre'}}"
"{'type': 'node', 'id': 4859372149, 'lat': 7.3904046, 'lon': 2.5971225, 'tags': {'amenity': 'hospital', 'name': 'Maternité dispensaire de Keétou'}}"
"{'type': 'node', 'id': 5472444297, 'lat': 7.9218633, 'lon': 2.0656483, 'tags': {'amenity': 'clinic', 'name': 'Clinique St Eloi Pr'}}"
"{'type': 'node', 'id': 5472445949, 'lat': 7.9992591, 'lon': 2.0768988, 'tags': {'amenity': 'hospital', 'name': 'Centre de santé de Lahotan'}}"
"{'type': 'node', 'id': 5472515562, 'lat': 7.938492, 'lon': 1.9619997, 'tags': {'amenity': 'hospital', 'name': ""Centre de santé d'Arrondissement de Ouèssè""}}"
"{'type': 'node', 'id': 5519778329, 'lat': 7.7796597, 'lon': 2.1829766, 'tags': {'amenity': 'pharmacy', 'name': 'Dassa carrefour', 'name:fr': 'Pharmacie Dassa carrefour'}}"
"{'type': 'node', 'id': 5519951822, 'lat': 7.7775238, 'lon': 2.1939498, 'tags': {'amenity': 'pharmacy', 'name': 'Pharmacie des Collines'}}"
"{'type': 'node', 'id': 6176804165, 'lat': 7.4478328, 'lon': 2.7495048, 'tags': {'amenity': 'hospital', 'name': 'Maternité'}}"
"{'type': 'node', 'id': 7335140785, 'lat': 7.5862937, 'lon': 2.4688082, 'tags': {'amenity': 'hospital', 'name': 'CENTRE DE SANTÉ DE AGBOGBOME, PAOUIGNAN', 'name:fr': 'CENTRE DE SANTÉ DE AGBOGBOME, PAOUIGNAN, DASSA ZOUME, COLLINES, BENIN'}}"
"{'type': 'node', 'id': 7380045689, 'lat': 8.4295489, 'lon': 2.0351315, 'tags': {'amenity': 'hospital', 'name': 'Maternité Isolée de Djagbalo'}}"
"{'type': 'node', 'id': 7642731985, 'lat': 8.3037394, 'lon': 2.4054691, 'tags': {'amenity': 'hospital', 'name': 'Centre de Santé de Djègbé'}}"
"{'type': 'node', 'id': 8650916117, 'lat': 8.0548699, 'lon': 2.5048279, 'tags': {'amenity': 'hospital', 'name': 'Morgue Hôpital de Zone'}}"
"{'type': 'node', 'id': 9766596817, 'lat': 7.9550756, 'lon': 2.2374593, 'tags': {'amenity': 'pharmacy', 'name': 'Pharmacie principale Glazoué'}}"
"{'type': 'node', 'id': 9853296950, 'lat': 7.7606129, 'lon': 3.1133347, 'tags': {'amenity': 'pharmacy', 'building': 'yes'}}"
"{'type': 'node', 'id': 9853296958, 'lat': 7.7573676, 'lon': 3.1135644, 'tags': {'amenity': 'pharmacy', 'building': 'yes'}}"
"{'type': 'node', 'id': 9853296959, 'lat': 7.7605236, 'lon': 3.1129742, 'tags': {'amenity': 'clinic', 'building': 'yes', 'healthcare': 'clinic'}}"
"{'type': 'node', 'id': 9899821481, 'lat': 8.2786372, 'lon': 2.9969635, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9899821504, 'lat': 8.279878, 'lon': 2.996922, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9899830368, 'lat': 8.309185, 'lon': 3.0291479, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
