OSM_Data
"{'type': 'node', 'id': 2334381529, 'lat': 35.1174412, 'lon': 118.2877815, 'tags': {'amenity': 'hospital', 'emergency': 'yes', 'name': '临沂大学校医院'}}"
"{'type': 'node', 'id': 3224290870, 'lat': 35.0644141, 'lon': 118.3514315, 'tags': {'amenity': 'hospital', 'name': '交通医院'}}"
"{'type': 'node', 'id': 3292111687, 'lat': 35.0611517, 'lon': 118.3461724, 'tags': {'amenity': 'hospital'}}"
"{'type': 'node', 'id': 4043683819, 'lat': 34.9186471, 'lon': 118.6412987, 'tags': {'amenity': 'hospital', 'name': '临沭第一人民医院'}}"
"{'type': 'node', 'id': 4103946896, 'lat': 35.0737675, 'lon': 118.3961909, 'tags': {'amenity': 'hospital', 'name': '临沂人民医院胸科医院'}}"
"{'type': 'node', 'id': 4231135855, 'lat': 35.1221772, 'lon': 118.2899913, 'tags': {'amenity': 'clinic'}}"
"{'type': 'node', 'id': 4603130550, 'lat': 35.1203525, 'lon': 118.3174064, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic'}}"
"{'type': 'node', 'id': 4603130552, 'lat': 35.1152115, 'lon': 118.328851, 'tags': {'amenity': 'clinic'}}"
"{'type': 'node', 'id': 4603130560, 'lat': 35.1188753, 'lon': 118.3442469, 'tags': {'amenity': 'clinic'}}"
"{'type': 'node', 'id': 4603130565, 'lat': 35.0962918, 'lon': 118.3506943, 'tags': {'amenity': 'clinic'}}"
"{'type': 'node', 'id': 4603130566, 'lat': 35.1139711, 'lon': 118.3632755, 'tags': {'addr:city': '临沂市', 'addr:district': '兰山区', 'addr:postcode': '276007', 'addr:province': '山东省', 'addr:street': '仁和路', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': '临沂市中医医院北城医院', 'phone': '+86 539 861 1708'}}"
"{'type': 'node', 'id': 5137746220, 'lat': 34.9772073, 'lon': 118.285572, 'tags': {'amenity': 'hospital', 'name': '罗庄儿童医院'}}"
"{'type': 'node', 'id': 6185650143, 'lat': 34.4395151, 'lon': 118.2445387, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '郯城第三人民医院'}}"
"{'type': 'node', 'id': 7041273732, 'lat': 35.2725908, 'lon': 118.5106602, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '山东煤炭疗养院（临沂市河东区中心医院）'}}"
"{'type': 'node', 'id': 7041273733, 'lat': 35.2713432, 'lon': 118.5106849, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '临沂同仁康复医院'}}"
"{'type': 'node', 'id': 7041273734, 'lat': 35.2725757, 'lon': 118.5122007, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '汤头街道中心卫生院'}}"
"{'type': 'node', 'id': 7041273735, 'lat': 35.2716752, 'lon': 118.512059, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '临沂警官疗养院'}}"
"{'type': 'node', 'id': 7041273737, 'lat': 35.2744824, 'lon': 118.5086637, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '第五疗养区'}}"
"{'type': 'node', 'id': 7041273738, 'lat': 35.2723745, 'lon': 118.5093723, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '第三疗养区'}}"
"{'type': 'node', 'id': 7041273739, 'lat': 35.2713884, 'lon': 118.5096003, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '康复疗养大厦'}}"
"{'type': 'node', 'id': 9135571578, 'lat': 35.1371625, 'lon': 118.2799485, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '临沂市妇女儿童医院大学院区'}}"
"{'type': 'node', 'id': 10088181814, 'lat': 35.1276768, 'lon': 118.304112, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '临沂市社会福利中心'}}"
"{'type': 'node', 'id': 10088181815, 'lat': 35.1278701, 'lon': 118.3054853, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '临沂市救助管理站'}}"
"{'type': 'node', 'id': 10088252426, 'lat': 35.1283087, 'lon': 118.3040994, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '临沂老年医院'}}"
"{'type': 'node', 'id': 10088252427, 'lat': 35.1275661, 'lon': 118.301076, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '临沂市人民医院北城新区医院'}}"
"{'type': 'node', 'id': 10088252428, 'lat': 35.1271277, 'lon': 118.3026225, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '临沂市人民医院北城新区医院·东门'}}"
"{'type': 'node', 'id': 10088252429, 'lat': 35.1292412, 'lon': 118.2974262, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '临沂市人民医院北城新区医院·西门'}}"
"{'type': 'node', 'id': 10088252444, 'lat': 35.1272671, 'lon': 118.2998154, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '临沂市人民医院北城新区医院·南门'}}"
"{'type': 'node', 'id': 10088258621, 'lat': 35.1254414, 'lon': 118.3023206, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '临沂市老年养护院'}}"
"{'type': 'node', 'id': 12168367372, 'lat': 35.0615111, 'lon': 118.3417353, 'tags': {'addr:city': '临沂市', 'addr:district': '兰山区', 'addr:postcode': '276000', 'addr:province': '山东省', 'addr:street': '银雀山路', 'amenity': 'doctors', 'healthcare': 'doctor', 'healthcare:speciality': 'otolaryngology', 'name': '金雀山街道西苑社区卫生服务站'}}"
