OSM_Data
"{'type': 'node', 'id': 4256920799, 'lat': 6.6514385, 'lon': -4.2065206, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de Sion', 'wheelchair': 'yes'}}"
"{'type': 'node', 'id': 4306293392, 'lat': 6.6550724, 'lon': -4.2106774, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 4783620521, 'lat': 7.0628446, 'lon': -4.4966207, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de Bocanda', 'name:fr': 'Pharmacie de Bocanda'}}"
"{'type': 'node', 'id': 5209368964, 'lat': 7.058471, 'lon': -3.9612231, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie du marché', 'name:fr': 'Pharmacie du marché'}}"
"{'type': 'node', 'id': 5209369823, 'lat': 7.0568882, 'lon': -3.9609149, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'La paix de Daoukro', 'name:fr': 'La paix de Daoukro'}}"
"{'type': 'node', 'id': 5860743988, 'lat': 6.6482551, 'lon': -4.7063154, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de Dimbokro', 'name:en': 'Pharmacy of Dimbokro'}}"
"{'type': 'node', 'id': 5864438642, 'lat': 6.0010813, 'lon': -4.3196448, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor'}}"
"{'type': 'node', 'id': 5871311687, 'lat': 6.6471938, 'lon': -4.7062265, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie YOTIKY', 'name:en': 'YOTIKY pharmacy'}}"
"{'type': 'node', 'id': 5978952963, 'lat': 6.3389968, 'lon': -4.8575912, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Depôt de Pharmacie de Kpouebo'}}"
"{'type': 'node', 'id': 6026566386, 'lat': 7.0575585, 'lon': -3.9676906, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""DE l'AMITIER""}}"
"{'type': 'node', 'id': 6137061184, 'lat': 6.1036408, 'lon': -3.8615018, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Centre de santé scolaire et universitaire'}}"
"{'type': 'node', 'id': 6482114690, 'lat': 6.3887875, 'lon': -3.8880214, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Grande pharmacie'}}"
"{'type': 'node', 'id': 6482115856, 'lat': 6.0929274, 'lon': -3.8640203, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie ADZOPE'}}"
"{'type': 'node', 'id': 6652804768, 'lat': 7.0567227, 'lon': -3.9608085, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de la Paix', 'opening_hours': 'Mo-Fr 08:00-20:00'}}"
"{'type': 'node', 'id': 7720448542, 'lat': 6.7700097, 'lon': -4.2922321, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de Santé Urbain de Assié-Koumassi'}}"
"{'type': 'node', 'id': 7741436327, 'lat': 6.8251613, 'lon': -3.5696308, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': ""Centre de Santé Urbain d'Amelekia""}}"
"{'type': 'node', 'id': 8244553896, 'lat': 6.644428, 'lon': -4.1840597, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'healthcare:speciality': 'clinic', 'name': 'Centre de santé'}}"
"{'type': 'node', 'id': 8455777129, 'lat': 6.6733416, 'lon': -3.9712488, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""PHARMACIE D'ARRAH""}}"
"{'type': 'node', 'id': 8741924361, 'lat': 6.3333069, 'lon': -4.5462684, 'tags': {'description': ""centre de santé e'Allakro"", 'healthcare': 'yes', 'name': 'Dispensaire'}}"
"{'type': 'node', 'id': 9007786413, 'lat': 6.9090219, 'lon': -4.5178056, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de Santé'}}"
"{'type': 'node', 'id': 9007796207, 'lat': 7.0633518, 'lon': -4.5023081, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'District Sanitaire de Bocanda'}}"
"{'type': 'node', 'id': 9007796652, 'lat': 6.6594531, 'lon': -4.7049939, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'District Sanitaire de Dimbokro'}}"
"{'type': 'node', 'id': 10292073609, 'lat': 6.2244547, 'lon': -3.7733036, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Dépot de produits pharmaceutiques'}}"
"{'type': 'node', 'id': 10605908145, 'lat': 6.6546146, 'lon': -4.714094, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Paul et Marie'}}"
"{'type': 'node', 'id': 11191123737, 'lat': 6.8300624, 'lon': -3.5738161, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""Pharmacie d'Amelekia""}}"
"{'type': 'node', 'id': 11247828193, 'lat': 6.5627461, 'lon': -3.7602631, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Liddell'}}"
"{'type': 'node', 'id': 11279387976, 'lat': 6.2442578, 'lon': -3.7937633, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Centre de Santé'}}"
"{'type': 'node', 'id': 11279539060, 'lat': 6.1020832, 'lon': -3.856507, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Eureka'}}"
"{'type': 'node', 'id': 11804257747, 'lat': 7.0557647, 'lon': -3.9639277, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de santé des armées'}}"
