OSM_Data
"{'type': 'node', 'id': 2059920870, 'lat': 10.0276365, 'lon': -74.6109112, 'tags': {'amenity': 'hospital', 'fixme': 'location'}}"
"{'type': 'node', 'id': 3100445654, 'lat': 9.6603069, 'lon': -73.7476821, 'tags': {'amenity': 'pharmacy'}}"
"{'type': 'node', 'id': 3100445661, 'lat': 9.6601641, 'lon': -73.7479052, 'tags': {'amenity': 'hospital', 'name': 'Hospital'}}"
"{'type': 'node', 'id': 3100445664, 'lat': 9.6603069, 'lon': -73.7486477, 'tags': {'amenity': 'pharmacy'}}"
"{'type': 'node', 'id': 3100445665, 'lat': 9.6602223, 'lon': -73.7487603, 'tags': {'amenity': 'pharmacy'}}"
"{'type': 'node', 'id': 8898792317, 'lat': 10.59026, 'lon': -74.1856517, 'tags': {'amenity': 'hospital', 'name': 'Luisa Santiaga Iguaran'}}"
"{'type': 'node', 'id': 12337476793, 'lat': 10.5151714, 'lon': -74.2024198, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Farmacia'}}"
"{'type': 'node', 'id': 12337476794, 'lat': 10.5182509, 'lon': -74.1944443, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Farmacia'}}"
"{'type': 'node', 'id': 12337476795, 'lat': 10.521806, 'lon': -74.1857086, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 12337476796, 'lat': 10.5218636, 'lon': -74.1855823, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 12337476797, 'lat': 10.5216924, 'lon': -74.1860136, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 12337476798, 'lat': 10.5213229, 'lon': -74.1855607, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 12337476799, 'lat': 10.5212123, 'lon': -74.1853481, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 12337476800, 'lat': 10.5224922, 'lon': -74.1857042, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 12337481801, 'lat': 10.5236633, 'lon': -74.1861234, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
