OSM_Data
"{'type': 'node', 'id': 540061901, 'lat': 21.3247504, 'lon': 92.0832259, 'tags': {'amenity': 'hospital'}}"
"{'type': 'node', 'id': 1800648820, 'lat': 21.4436394, 'lon': 91.9717349, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'name': 'Pharmacy'}}"
"{'type': 'node', 'id': 1800922292, 'lat': 21.4428251, 'lon': 91.9707618, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes'}}"
"{'type': 'node', 'id': 1801018910, 'lat': 21.443837, 'lon': 91.9728397, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes'}}"
"{'type': 'node', 'id': 1801030078, 'lat': 21.4444449, 'lon': 91.9733982, 'tags': {'amenity': 'pharmacy'}}"
"{'type': 'node', 'id': 1801775451, 'lat': 21.4435521, 'lon': 91.9773699, 'tags': {'amenity': 'pharmacy'}}"
"{'type': 'node', 'id': 1801776695, 'lat': 21.4436297, 'lon': 91.977268, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'healthcare:speciality': 'ophthalmology', 'name': 'Community Eye Hospital'}}"
"{'type': 'node', 'id': 1801791952, 'lat': 21.4423116, 'lon': 91.9770314, 'tags': {'amenity': 'hospital', 'name': ""Central Hospital Cox's bazar""}}"
"{'type': 'node', 'id': 1801796034, 'lat': 21.4423627, 'lon': 91.9769886, 'tags': {'amenity': 'hospital', 'name': 'Dental Care'}}"
"{'type': 'node', 'id': 1801801222, 'lat': 21.4423021, 'lon': 91.9767396, 'tags': {'amenity': 'hospital', 'name': 'Dental Care'}}"
"{'type': 'node', 'id': 1801803164, 'lat': 21.4412853, 'lon': 91.9768442, 'tags': {'amenity': 'hospital', 'name': 'Chevron Hospital'}}"
"{'type': 'node', 'id': 1802420571, 'lat': 21.4414404, 'lon': 91.976909, 'tags': {'amenity': 'hospital', 'name': 'Digital Hospital'}}"
"{'type': 'node', 'id': 1802422899, 'lat': 21.4415557, 'lon': 91.976916, 'tags': {'amenity': 'hospital', 'name': 'Jela Sadar Hospital'}}"
