OSM_Data
"{'type': 'node', 'id': 2899084831, 'lat': 5.4327675, 'lon': -4.0147336, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Saint François Xavier'}}"
"{'type': 'node', 'id': 2899086939, 'lat': 5.4339744, 'lon': -4.0124778, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de la Sogefiha', 'note': '«\u202fSogefiha\u202f» est une abréviation pour «\u202fSociété de Gestion Financière de l’Habitat\u202f».'}}"
"{'type': 'node', 'id': 3131355370, 'lat': 5.4463775, 'lon': -4.0206899, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Pharmacie Belle Cité', 'opening_hours': '24/7'}}"
"{'type': 'node', 'id': 3311880924, 'lat': 5.438138, 'lon': -4.0205277, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Matene'}}"
"{'type': 'node', 'id': 3509960569, 'lat': 5.4735005, 'lon': -3.8007998, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Dispensaire Rural'}}"
"{'type': 'node', 'id': 3840337963, 'lat': 6.7311795, 'lon': -3.4878618, 'tags': {'amenity': 'pharmacy', 'dispensing': 'Pharmacie du Marché', 'healthcare': 'pharmacy', 'name': 'Pharmacie du marché', 'source': 'bing;survey'}}"
"{'type': 'node', 'id': 3870504806, 'lat': 5.4362977, 'lon': -4.0150382, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de la Cité'}}"
"{'type': 'node', 'id': 4247045378, 'lat': 5.4340774, 'lon': -4.0190225, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Médicale St Michel Archange'}}"
"{'type': 'node', 'id': 4256920799, 'lat': 6.6514385, 'lon': -4.2065206, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de Sion', 'wheelchair': 'yes'}}"
"{'type': 'node', 'id': 4262495193, 'lat': 6.7266073, 'lon': -3.4984378, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie du carrefour'}}"
"{'type': 'node', 'id': 4306293392, 'lat': 6.6550724, 'lon': -4.2106774, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 4485218892, 'lat': 5.4328704, 'lon': -4.025792, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Cité Médicale La Roseraie'}}"
"{'type': 'node', 'id': 4485222094, 'lat': 5.4443899, 'lon': -4.0142266, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Route Akeikoi'}}"
"{'type': 'node', 'id': 4485222095, 'lat': 5.4385494, 'lon': -4.0139304, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Yarapha'}}"
"{'type': 'node', 'id': 4485222096, 'lat': 5.4388123, 'lon': -4.0399959, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Clinique médicale Les grâces'}}"
"{'type': 'node', 'id': 4485222197, 'lat': 5.4371623, 'lon': -4.0308622, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Magnificat'}}"
"{'type': 'node', 'id': 4485222291, 'lat': 5.434002, 'lon': -4.0266186, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie du centre'}}"
