OSM_Data
"{'type': 'node', 'id': 3808846622, 'lat': 13.4616893, 'lon': -2.0221058, 'tags': {'amenity': 'clinic', 'health_facility:type': 'health_center', 'id:uuid': 'urn:tdh_csps_pnt_id:sittigo', 'is_in:health_admin3': 'Séguénéga', 'name': 'Sittigo', 'operator': 'Ministère de la Santé du Burkina Faso', 'operator:type': 'public', 'source': 'Bing;Tdh;survey', 'survey:date': '2015-10-26'}}"
"{'type': 'node', 'id': 3808875339, 'lat': 13.4262126, 'lon': -2.0470016, 'tags': {'amenity': 'clinic', 'health_facility:type': 'health_center', 'id:uuid': 'urn:tdh_csps_pnt_id:goubre', 'is_in:health_admin3': 'Séguénéga', 'name': 'Goubré', 'operator': 'Ministère de la Santé du Burkina Faso', 'operator:type': 'public', 'source': 'Bing;Tdh;survey', 'survey:date': '2015-10-26'}}"
"{'type': 'node', 'id': 3808923406, 'lat': 13.4912424, 'lon': -2.1019723, 'tags': {'amenity': 'clinic', 'health_facility:type': 'health_center', 'id:uuid': 'urn:tdh_csps_pnt_id:ramsa', 'is_in:health_admin3': 'Séguénéga', 'name': 'Ramsa', 'operator': 'Ministère de la Santé du Burkina Faso', 'operator:type': 'public', 'source': 'Bing;Tdh;survey', 'survey:date': '2015-10-26'}}"
"{'type': 'node', 'id': 3810145677, 'lat': 13.5165659, 'lon': -1.9151365, 'tags': {'amenity': 'clinic', 'health_facility:type': 'health_center', 'id:uuid': 'urn:tdh_csps_pnt_id:teonsgho', 'is_in:health_admin3': 'Séguénéga', 'name': 'Teonsgho', 'operator': 'Ministère de la Santé du Burkina Faso', 'operator:type': 'public', 'source': 'Bing;Tdh;survey', 'survey:date': '2015-10-27'}}"
"{'type': 'node', 'id': 3810155103, 'lat': 13.4589067, 'lon': -1.8760096, 'tags': {'amenity': 'clinic', 'health_facility:type': 'health_center', 'id:uuid': 'urn:tdh_csps_pnt_id:zomkalga', 'is_in:health_admin3': 'Séguénéga', 'name': 'Zomkalga', 'operator': 'Ministère de la Santé du Burkina Faso', 'operator:type': 'public', 'source': 'Bing;Tdh;survey', 'survey:date': '2015-10-27'}}"
"{'type': 'node', 'id': 4553065122, 'lat': 14.0926392, 'lon': -2.16583, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Tibou'}}"
"{'type': 'node', 'id': 4698262317, 'lat': 13.6151374, 'lon': -2.2193834, 'tags': {'amenity': 'pharmacy'}}"
"{'type': 'node', 'id': 5656850794, 'lat': 14.100198, 'lon': -1.6291872, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Pharmacie de Soum'}}"
"{'type': 'node', 'id': 5656850795, 'lat': 14.1005609, 'lon': -1.6296016, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Hôpita de district de Djibo', 'short_name': 'HD de Djibo'}}"
"{'type': 'node', 'id': 5656850798, 'lat': 14.0992121, 'lon': -1.6339186, 'tags': {'amenity': 'clinic', 'name': 'Dispensaire Croix-Rouge'}}"
"{'type': 'node', 'id': 5659422932, 'lat': 14.100083, 'lon': -1.6334676, 'tags': {'amenity': 'clinic', 'name': 'Croix-Rouge'}}"
"{'type': 'node', 'id': 5777305164, 'lat': 13.7656545, 'lon': -1.8488158, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Hitté'}}"
"{'type': 'node', 'id': 8432334817, 'lat': 14.1636581, 'lon': -2.1872436, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Nassingré', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8432764268, 'lat': 14.1169478, 'lon': -2.1231991, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre Médical de Sollé', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8434810360, 'lat': 13.9541168, 'lon': -2.2256957, 'tags': {'amenity': 'hospital', 'name': ""Centre Médical d'Ingané"", 'operator': 'Public'}}"
"{'type': 'node', 'id': 8439070104, 'lat': 13.882592, 'lon': -1.95032, 'tags': {'amenity': 'hospital', 'name': 'Centre Médical de Toulfé', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8439073023, 'lat': 13.9065606, 'lon': -2.0909321, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Pellaboukou'}}"
"{'type': 'node', 'id': 8441178399, 'lat': 13.8383091, 'lon': -2.1988159, 'tags': {'amenity': 'hospital', 'name': 'Centre Médical de Nogo', 'operator': 'Publlic'}}"
"{'type': 'node', 'id': 8441178877, 'lat': 13.8351682, 'lon': -2.051497, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Rimassa-Tanghin', 'operator': 'Publlic'}}"
"{'type': 'node', 'id': 8442533229, 'lat': 13.7842103, 'lon': -2.1405154, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Silia'}}"
"{'type': 'node', 'id': 8443729550, 'lat': 13.7714014, 'lon': -2.0697829, 'tags': {'Observation': ""Présence d'une antenne chirurgicale"", 'amenity': 'hospital', 'name': 'CMA de Titao', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8443729562, 'lat': 13.7643467, 'lon': -2.0664355, 'tags': {'amenity': 'hospital', 'name': 'CSPS urbain de Titao', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8443729831, 'lat': 13.7866486, 'lon': -2.1020579, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Sala-Foulbé', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8446835734, 'lat': 13.7062426, 'lon': -2.1453582, 'tags': {'amenity': 'hospital', 'name': 'CSPS de You', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8446836809, 'lat': 13.752739, 'lon': -2.0208272, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Selbonga', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8447272851, 'lat': 13.6104185, 'lon': -2.1137618, 'tags': {'amenity': 'hospital', 'name': 'Centre Médical de Rambo', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8451371697, 'lat': 13.6827147, 'lon': -1.8884602, 'tags': {'amenity': 'hospital', 'name': 'Centre Médical de Rounga'}}"
"{'type': 'node', 'id': 8451380203, 'lat': 13.5965807, 'lon': -1.9670396, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Doussaré', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8454432381, 'lat': 13.7737121, 'lon': -1.9664884, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Bouna', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8454432745, 'lat': 13.7407842, 'lon': -1.9648965, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Toolo', 'operator': 'Public'}}"
