OSM_Data
"{'type': 'node', 'id': 1398023537, 'lat': 28.0985017, 'lon': 121.2768136, 'tags': {'amenity': 'hospital', 'emergency': 'yes', 'name': '玉环红十字医院'}}"
"{'type': 'node', 'id': 2526366661, 'lat': 28.6485525, 'lon': 121.2684081, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '防疫站'}}"
"{'type': 'node', 'id': 2614152982, 'lat': 28.106863, 'lon': 120.9673978, 'tags': {'addr:city': '乐清市', 'addr:housename': '乐清市人民医院', 'addr:housenumber': '318号', 'addr:street': '清远路', 'amenity': 'hospital', 'name': '乐清市人民医院'}}"
"{'type': 'node', 'id': 3314190129, 'lat': 28.6492486, 'lon': 121.2638648, 'tags': {'amenity': 'hospital', 'capacity': '18', 'healthcare': 'hospital', 'name': '红十字'}}"
"{'type': 'node', 'id': 3345510824, 'lat': 28.556802, 'lon': 121.2578101, 'tags': {'amenity': 'hospital', 'name': '院桥中心卫生院'}}"
"{'type': 'node', 'id': 3349344418, 'lat': 28.6477838, 'lon': 121.2392192, 'tags': {'amenity': 'hospital', 'name': '黄岩三医院'}}"
"{'type': 'node', 'id': 4043500353, 'lat': 28.8713461, 'lon': 121.1742686, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '养护医疗中心'}}"
"{'type': 'node', 'id': 8592426691, 'lat': 28.4024416, 'lon': 121.0729186, 'tags': {'amenity': 'pharmacy'}}"
"{'type': 'node', 'id': 8592459617, 'lat': 28.3962122, 'lon': 121.0453116, 'tags': {'healthcare': 'centre'}}"
"{'type': 'node', 'id': 9308871905, 'lat': 27.9511502, 'lon': 120.7947541, 'tags': {'addr:city': '温州市', 'addr:district': '龙湾区', 'addr:housenumber': '1111', 'addr:province': '浙江省', 'addr:street': '温州大道（东段）', 'amenity': 'hospital', 'healthcare': 'hospital', 'healthcare:speciality': 'general', 'name': '温州医科大学附属第二医院'}}"
"{'type': 'node', 'id': 9308887151, 'lat': 27.9486309, 'lon': 120.791864, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'healthcare:speciality': 'dentist', 'name': '温州医科大学附属口腔医院'}}"
"{'type': 'node', 'id': 11032817585, 'lat': 28.2171735, 'lon': 121.0312467, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '乐清市虹桥镇上陶村卫生室'}}"
"{'type': 'node', 'id': 11032822562, 'lat': 28.1960656, 'lon': 121.0444335, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic'}}"
"{'type': 'node', 'id': 11032822566, 'lat': 28.1968215, 'lon': 121.0453885, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic'}}"
"{'type': 'node', 'id': 11040067706, 'lat': 28.2164344, 'lon': 121.0317329, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '乐清虹桥康虹妇科'}}"
"{'type': 'node', 'id': 11040238576, 'lat': 28.2739358, 'lon': 121.09925, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '乐清市供销社清江水产养殖专科医院'}}"
"{'type': 'node', 'id': 11040299932, 'lat': 28.4196082, 'lon': 121.1285891, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '双峰中心卫生院'}}"
"{'type': 'node', 'id': 11040300087, 'lat': 28.2859729, 'lon': 120.949912, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '岭底乡卫生院'}}"
"{'type': 'node', 'id': 11040300141, 'lat': 28.2305371, 'lon': 120.993432, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '淡溪中心卫生院'}}"
"{'type': 'node', 'id': 11040300328, 'lat': 28.2150683, 'lon': 120.9553511, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '淡溪镇四都卫生院'}}"
"{'type': 'node', 'id': 11040338163, 'lat': 28.2156364, 'lon': 121.0275966, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '虹桥中心卫生院'}}"
"{'type': 'node', 'id': 11040578440, 'lat': 28.1652552, 'lon': 121.054009, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '蒲岐镇卫生院'}}"
"{'type': 'node', 'id': 11040578716, 'lat': 28.2460325, 'lon': 121.1060116, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '南塘卫生院'}}"
"{'type': 'node', 'id': 11042739074, 'lat': 28.0448688, 'lon': 120.8939521, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '乐清口腔医院'}}"
"{'type': 'node', 'id': 11042783266, 'lat': 28.0381599, 'lon': 120.8453007, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '乐清东敏中西医结合医院'}}"
"{'type': 'node', 'id': 11042783287, 'lat': 28.0304561, 'lon': 120.965451, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '翁垟镇卫生院'}}"
"{'type': 'node', 'id': 11051944627, 'lat': 28.0276044, 'lon': 120.7841372, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '民安医院'}}"
"{'type': 'node', 'id': 11129209413, 'lat': 28.0081632, 'lon': 120.7164776, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '一正药房'}}"
